"nba_id","Team","Player","Experience","DPM","DPM Improvement","O-DPM","D-DPM","Box DPM","Box O-DPM","Box D-DPM","FGA/100","FG2%","FG3A/100","FG3%","FG3ARate%","RimFGA/100","RimFG%","FTA/100","FT%","FTARate%","USG%","REB/100","AST/100","AST%","BLK/100","BLK%","STL/100","STL%","TOV/100"
203999,"Denver Nuggets","Nikola Jokic","Vet",6.96,1.43,4.98,1.98,4.74,3.68,1.06,24.713,0.654,3.822,0.342,0.184,7.617,0.73,8.357,0.836,0.352,0.282,17.551,12.528,0.395,1.335,0.015,1.633,0.016,4.454
203954,"Philadelphia 76ers","Joel Embiid","Vet",6.67,0.26,3.92,2.75,5.11,3.34,1.77,31.666,0.546,3.979,0.343,0.177,8.696,0.755,12.853,0.866,0.47,0.369,15.892,7.943,0.305,2.455,0.027,1.382,0.014,5.244
203507,"Milwaukee Bucks","Giannis Antetokounmpo","Vet",6.47,-1.05,4.27,2.21,4.91,3.49,1.42,25.595,0.626,2.43,0.297,0.142,11.729,0.786,13.853,0.645,0.594,0.337,16.85,9.481,0.333,1.378,0.016,1.501,0.015,5.545
202695,"Los Angeles Clippers","Kawhi Leonard","Vet",5.54,0.57,4.01,1.53,6.48,4.52,1.96,23.122,0.567,6.419,0.4,0.25,4.067,0.751,6.516,0.875,0.277,0.248,9.089,5.826,0.182,1.101,0.013,2.147,0.022,2.401
1628369,"Boston Celtics","Jayson Tatum","Vet",5.49,0.22,4.86,0.63,3.58,4.08,-0.5,26.106,0.536,10.81,0.367,0.4,6.554,0.707,10.338,0.843,0.368,0.294,11.357,6.287,0.208,0.818,0.009,1.35,0.014,3.419
202331,"Los Angeles Clippers","Paul George","Vet",4.72,0.31,3.04,1.68,2.65,1.58,1.07,24.748,0.525,11.945,0.388,0.489,3.881,0.665,5.118,0.875,0.214,0.262,7.91,5.082,0.149,0.556,0.006,2.051,0.021,2.859
201142,"Phoenix Suns","Kevin Durant","Vet",4.64,-0.94,4.49,0.15,3.46,3.93,-0.47,24.306,0.571,7.113,0.404,0.308,2.992,0.769,7.955,0.894,0.343,0.277,8.734,7.102,0.221,1.602,0.018,1.044,0.01,3.516
1628378,"Cleveland Cavaliers","Donovan Mitchell","Vet",4.46,0.96,4.07,0.39,3.69,4.13,-0.44,27.387,0.537,11.992,0.372,0.433,6.079,0.678,7.613,0.862,0.253,0.314,6.899,8.568,0.281,0.58,0.006,2.151,0.021,3.971
1641705,"San Antonio Spurs","Victor Wembanyama","Rookie",4.3,NA,2.1,2.2,6.04,3,3.04,28.202,0.549,7.866,0.324,0.273,10.009,0.737,9.258,0.801,0.34,0.326,16.07,5.262,0.189,4.957,0.056,1.45,0.014,4.827
2544,"Los Angeles Lakers","LeBron James","Vet",4.16,-0.89,3.11,1.05,0.91,2.22,-1.31,24.96,0.592,7.667,0.342,0.304,9.129,0.746,7.556,0.738,0.284,0.289,10.04,10.326,0.329,0.87,0.01,1.553,0.015,4.42
1628983,"Oklahoma City Thunder","Shai Gilgeous-Alexander","Vet",4.12,2.52,4.18,-0.06,3.29,3.53,-0.24,27.516,0.571,4.571,0.384,0.191,8.616,0.689,13.125,0.891,0.499,0.339,7.256,8.823,0.294,1.072,0.012,2.408,0.024,3.301
201935,"Los Angeles Clippers","James Harden","Vet",3.91,0.24,3.27,0.64,4.22,3,1.22,16.926,0.513,9.633,0.367,0.579,2.938,0.626,6.483,0.873,0.38,0.204,6.714,12.212,0.336,1.018,0.011,1.743,0.017,3.955
1629029,"Dallas Mavericks","Luka Doncic","Vet",3.73,0.59,4.63,-0.9,3.04,3.95,-0.91,29.823,0.565,13.129,0.357,0.41,5.261,0.748,12.501,0.752,0.407,0.34,11.014,12.088,0.444,0.784,0.009,1.691,0.017,5.743
1626164,"Phoenix Suns","Devin Booker","Vet",3.55,-0.03,4.38,-0.83,1.93,3.33,-1.4,25.747,0.55,8.715,0.376,0.345,3.796,0.71,8.33,0.876,0.331,0.284,6.207,8.912,0.279,0.502,0.006,1.259,0.013,3.174
202681,"Dallas Mavericks","Kyrie Irving","Vet",3.51,-0.32,4.18,-0.66,3.48,3.68,-0.2,28.276,0.525,10.326,0.396,0.357,4.915,0.665,6.236,0.9,0.217,0.281,7.018,7.444,0.235,0.74,0.008,1.667,0.017,2.619
201939,"Golden State Warriors","Stephen Curry","Vet",3.39,-1.43,4.48,-1.09,2.14,3.89,-1.75,27.283,0.54,15.983,0.414,0.582,2.511,0.67,7.115,0.911,0.243,0.292,5.97,8.309,0.262,0.509,0.006,1.26,0.012,3.974
203081,"Milwaukee Bucks","Damian Lillard","Vet",3.36,-0.56,4.9,-1.55,1.78,3.61,-1.83,23.946,0.521,11.451,0.385,0.493,5.393,0.631,10.471,0.917,0.408,0.266,5.48,8.833,0.272,0.272,0.003,1.233,0.012,3.092
1630162,"Minnesota Timberwolves","Anthony Edwards","Vet",3.29,0.85,3.01,0.28,2.47,3.13,-0.66,26.305,0.536,8.887,0.366,0.352,7.22,0.679,9.357,0.825,0.338,0.315,7.041,7.377,0.244,0.819,0.009,1.743,0.017,4.417
